OBJECTID,Tract_N,SPA,Detailed_1,CD,Detailed_N,SD,Tract_1,Year_1,totUnshe_1,totShelt_1,totPeopl_1,u_dens,s_dens,t_dens,unincorpor,Shape__Area,Shape__Length
353,143902,2,Studio City NC,4,Studio City NC,3,143902,2019,7,0,7,7.174807,0,7.174807,No,27199354.5839844,34225.2832055148
354,181000,4,Eagle Rock NC,14,Eagle Rock NC,1,181000,2019,34.051,10,44.051,21.31588,6.259986,27.575866,No,44553232.65625,37802.8871236113
355,181300,4,Eagle Rock NC,14,Eagle Rock NC,1,181300,2019,21.319,0,21.319,38.374544,0,38.374544,No,15511601.6621094,21398.801870864
356,181400,4,Eagle Rock NC,14,Eagle Rock NC,1,181400,2019,12.72,0,12.72,37.473364,0,37.473364,No,9462963.21875,14429.0507523278
357,181500,4,Eagle Rock NC,14,Eagle Rock NC,1,181500,2019,3.129,0,3.129,7.403116,0,7.403116,No,11782514.8115234,17905.0234690885
358,181600,4,Eagle Rock NC,14,Eagle Rock NC,1,181600,2019,5.36,0,5.36,11.106043,0,11.106043,No,13454532.4394531,17953.133238324
359,183101,4,Historic Highland Park NC,14,Historic Highland Park NC,1,183101,2019,25.396,0,25.396,67.955325,0,67.955325,No,10427254.0761719,17042.2266146074
360,183103,4,Historic Highland Park NC,14,Historic Highland Park NC,1,183103,2019,13.052,0,13.052,51.484193,0,51.484193,No,7080023.54296875,19701.3018300663
361,183104,4,Historic Highland Park NC,14,Historic Highland Park NC,1,183104,2019,0,0,0,0,0,0,No,7186615.45019531,16348.5796868015
362,183220,4,Historic Highland Park NC,14,Historic Highland Park NC,1,183220,2019,0,0,0,0,0,0,No,5761222.04003906,13315.3100341071
363,183221,4,Historic Highland Park NC,14,Historic Highland Park NC,1,183221,2019,1.427,0,1.427,5.229557,0,5.229557,No,7607284.4921875,12826.922091505
364,183222,4,Historic Highland Park NC,14,Historic Highland Park NC,1,183222,2019,0,0,0,0,0,0,No,9992616.65820313,16908.0529479716
365,183300,4,Historic Highland Park NC,14,Historic Highland Park NC,1,183300,2019,23.32,0,23.32,111.583153,0,111.583153,No,5826438.81933594,10263.5357686413
366,183401,4,Historic Highland Park NC,14,Historic Highland Park NC,1,183401,2019,1,0,1,5.336628,0,5.336628,No,5223863.22558594,10480.9232043721
367,183402,4,Eagle Rock NC,14,Eagle Rock NC,1,183402,2019,27.217,0,27.217,137.292759,0,137.292759,No,5526680.44433594,11220.3166700194
368,183510,4,Historic Highland Park NC,1,Historic Highland Park NC,1,183510,2019,4.812,0,4.812,24.904899,0,24.904899,No,5386530.50976563,10456.8525758532
369,183520,4,Historic Highland Park NC,1,Historic Highland Park NC,1,183520,2019,3.402,0,3.402,20.601551,0,20.601551,No,4603812.61425781,9181.96923401003
