OBJECTID,Tract_N,SPA,SD,CD,totUnshelt,totShelt,totPeople,Shape__Area,Shape__Length,GlobalID
534,980010,4,1,1,21.013,0,21.013,3906342.74255371,10546.0409161626,8188a73c-74b2-40ca-a16b-60596f3e38b3
535,980014,8,4,15,129.224,0,129.224,6873255.85394287,20842.6375208557,64a2356e-148d-4e90-b47c-29955b867685
536,980015,8,4,15,16.134,0,16.134,5521181.44274902,10526.8661329233,d1876762-4e72-416e-b688-5e9627e5a8d4
537,980019,5,3,11,0,0,0,44302825.9387207,45021.9774860517,16b5d547-395b-4a96-998e-d6a30a1b0853
538,980020,2,5,7,0,0,0,8546558.43029785,18425.3075120232,24664ac0-4e16-4aab-891d-8a1ae950fec2
539,980021,2,3,7,107.913,0,107.913,7000421.17651367,15227.3228474344,4ea942f2-7495-41fd-a562-ebf44a703129
540,128602,2,3,4,8.121,0,8.121,1136266.88818359,4431.76718188371,9cc5d374-d984-4eb3-8867-b35d27fb6fee
541,128801,2,3,4,7.033,0,7.033,483180.55480957,2877.49647876562,21d0392c-48ad-4e5e-9aa3-11d419621b12
542,128802,2,3,4,1.526,0,1.526,972886.284973145,4030.18606603158,6e1cc4ee-6944-4c79-8e5d-12b958a15906
543,128910,2,3,4,0,0,0,1335549.81677246,5290.50861399274,1983f949-6850-4041-a415-3078f03187ac
544,131020,2,3,3,8.952,0,8.952,1434920.11199951,5347.19708531492,06935134-97fc-4f04-abbf-27411406f9f5
545,131100,2,3,6,2.628,0,2.628,1096951.05657959,4315.57546709991,ba020f63-b5a7-4355-8841-4a5bad6d5c4a
546,131200,2,3,12,5.932,0,5.932,1130279.12762451,4417.5583352674,47e7eb88-a9fd-4f14-8fb5-aeb5ba531cb4
547,131400,2,3,12,5.068,0,5.068,1108931.72186279,4364.54877783216,c0ab1267-3692-4203-af1b-2e66fe4f7088
548,131600,2,3,3,7.015,0,7.015,2187958.64892578,5912.03087985059,6a415219-5777-415f-a9e8-382a8fb17b9c
549,131702,2,3,3,5.28,0,5.28,720518.342956543,3405.56078358025,612b3cd6-89e1-4062-9d0c-70eaf27f856a
550,131800,2,3,3,6.28,0,6.28,1318280.36804199,4854.29040586253,15e6969b-2409-4af8-b412-569b7ca7ba58
551,131900,2,3,6,3.662,0,3.662,1320304.7744751,4861.03737245161,d12b8ee7-020c-441e-a5a9-97687fb9f9c6
552,132002,2,3,6,1,0,1,1602884.83050537,6420.29166819487,581d12c8-225f-4b04-bc22-3223e7ef4b46
553,132101,2,3,6,1.676,0,1.676,811879.063842773,3626.5567440749,70d71b2e-289a-4870-9952-1e03819da6c2
554,132102,2,3,6,2.831,0,2.831,1364333.9887085,5718.20904664995,eaa222ce-6ebf-4305-8bfb-b0e4dbae0a3b
555,132501,2,3,3,3.459,0,3.459,706823.386779785,3361.02174579372,b16a28ad-9ebf-4406-82db-d2b34a92e1f3
556,132502,2,3,3,14.222,0,14.222,630830.171813965,3316.09334440938,e0acfd02-e088-421c-8e6a-9d0cae9f1037
557,132700,2,3,3,16.599,0,16.599,1323254.78826904,4784.21359447874,e0af6bb9-a382-4ad7-9a6f-56d77ef4fa9f
558,132900,2,3,5,8.846,0,8.846,1197856.77209473,5537.89912856608,98e6dad1-610b-4b8a-918d-67bbf24cf7e0
559,133100,2,3,3,13.942,0,13.942,1524544.29614258,5160.19877527843,520822f1-c925-40af-82b3-c2689b58e97b
560,134002,2,3,3,1.831,0,1.831,763995.463378906,4148.05085634767,7564e752-821a-41d3-b056-ddcc3adbfb0b
561,134101,2,3,3,0,0,0,1067517.50073242,4260.49441484653,83ed4fa1-9415-473e-8a10-35977c856345
562,134103,2,3,3,2,0,2,1050879.76831055,5301.88023995275,1fb49f7a-79f3-4b36-9569-074c53a2ec44
563,134201,2,3,3,10.783,0,10.783,1470564.6451416,5002.67077705738,a425a8f5-7aa2-43c5-a7f9-e91043227981
564,134302,2,5,12,0,0,0,1294641.21618652,4647.25237928074,eafde0f1-6fa8-4960-b8e7-8c303b3521e0
565,134303,2,3,3,14.189,0,14.189,1573580.18865967,5211.47021443771,cc6309a8-5134-466c-967d-36d4f1d625f3
566,134305,2,3,3,9.507,0,9.507,358125.484375,2470.2182330088,b19cca0a-64a2-4d8a-a68e-2394ac88e9ac
567,134421,2,3,12,1.831,0,1.831,2158204.65881348,5774.30667053888,4bc22fd5-3c62-4c3b-81eb-697fa6df9ce4
568,134422,2,3,12,12.817,0,12.817,2349177.56903076,7746.04651456351,a7a713f8-1d88-444e-9d54-aa28cb4ab6a5
569,134423,2,5,12,0,0,0,1578124.56988525,5575.59163625778,325dc9e5-b864-449c-8591-65593c5dd8d9
570,134424,2,5,12,0,0,0,3668484.94244385,8219.93889403953,cbf82a2c-5d5f-4c98-8f6d-3df86ba9c867
571,134521,2,3,3,12.546,0,12.546,355818.25592041,2495.66818755267,c73b91bf-41e3-427a-8566-8e9bbd11e5d3
572,134522,2,3,3,7.662,0,7.662,612919.581481934,3133.05382930288,b715be60-bdec-4616-a55e-5a0301ad8290
573,134720,2,3,3,7.324,0,7.324,991212.417541504,4057.70356529087,14fda52c-2bec-42d6-a7e1-6699351dcc43
574,134800,2,3,3,13.846,0,13.846,1867689.34094238,5659.38632571375,e6d0af4e-983b-4bcf-bcfc-32b101bd3e53
575,134901,2,3,3,3.507,0,3.507,1061195.22283936,4624.82908502428,dbef4f87-028e-4191-80a0-bfeac7fac81b
576,134904,2,3,3,19.831,0,19.831,1048088.46240234,4775.31729500526,6a832a00-7552-4c87-87e1-1ad74c12246a
577,134905,2,3,3,13.207,0,13.207,2602745.67657471,6695.54479813821,34efe279-9b98-4433-b078-f9c8a931520d
578,135102,2,3,12,17.622,0,17.622,1682221.74560547,5806.78754235305,f2dd7a31-f6b4-4adb-9ea5-7337c429c268
579,135113,2,3,3,0,0,0,642277.578491211,3986.38928435039,ef9149d4-b718-45c2-812f-d43c5b890116
580,135114,2,3,3,17.266,0,17.266,1271026.40789795,5549.14526352393,f085c9f4-76cc-4868-bd55-ee0c5a1596cd
581,137201,2,3,3,12.986,0,12.986,1995294.54821777,5818.71550722128,2481baad-ae38-497f-a98a-cc113b73a8f4
582,137301,2,3,3,1,0,1,1601745.83648682,6139.00742988317,23571126-0de0-487e-9100-0f5d7508c316
583,137302,2,3,3,5.493,0,5.493,2450741.26275635,7450.5887902074,23bffd17-f530-41eb-a30f-dca02728f66b
584,137401,2,3,3,5.237,0,5.237,2355001.31561279,7292.9262368831,48f7d84c-d737-4700-9368-88e3e3fa25ea
585,137501,2,3,3,2,0,2,2527510.38171387,7294.24498468855,e49b3918-72cf-4bc8-a826-289da2d2d918
586,137502,2,3,3,5.449,0,5.449,2097178.31878662,5837.97842088409,9b09ba6c-7b9e-46fa-81f9-3425797ef172
587,137504,2,3,3,0,0,0,3795333.26397705,9748.89978174708,85a75adc-0188-42d7-8318-c21cd4bc7740
588,138000,2,3,3,0,0,0,4532213.31628418,9395.92009436558,7b6d8de6-ee5b-4aac-a7d3-ffc6d0467444
589,139200,2,3,5,0,0,0,1150483.27752686,4274.33849232716,eba84273-cca6-40dd-a90a-5e79eadab9c5
590,139301,2,3,3,1,0,1,2893876.87982178,8193.98839251444,f99f8b6e-ff7f-4f9b-abbe-708cefe2908d
591,139302,2,3,3,3,0,3,339075.278442383,2427.77343552737,e78f5fa9-c211-46f7-b5ac-d1f0a0851583
592,139401,2,3,3,10.338,0,10.338,909079.608398438,3778.91771816848,db548fa3-b4d5-478b-bc37-f51faef7be27
593,139402,2,3,3,4.971,0,4.971,2448597.48706055,8511.61159258986,990c37ae-92ae-4bc4-9ef5-8b96eda0443e
594,139502,2,3,5,15.421,0,15.421,1055414.93780518,5034.26857421079,13492e94-1fd0-436f-9521-536a19da8012
595,139504,2,3,5,7.29,0,7.29,289497.256408691,2471.69173192338,ba3adc44-a681-43b1-af66-86ed28ea91b5
596,139600,2,3,5,2.676,0,2.676,2481364.16271973,6301.53291318011,60a9b59e-7a46-4f0f-9448-3cbee256d70c
597,139701,2,3,5,1,0,1,3421751.15600586,9778.00212163483,0fc15644-9340-4a78-8040-0617234362d4
598,139702,2,3,5,1.618,0,1.618,9410125.73730469,18627.7045529512,2b559fa4-3e6f-432b-a9e6-05ccd57d2813
599,139703,2,3,3,4.855,0,4.855,4745805.64581299,11880.0336993831,5f0252fa-b4ac-4118-a67b-9ef94196fcd6
600,139802,2,3,3,0,0,0,6026425.44732666,13594.2008605414,ed179cc4-3161-41b1-b5ce-cfe019b61c2c
601,272100,5,2,11,13.208,0,13.208,1205174.41430664,4515.37245608806,dbddb1b3-e8d0-40b7-95bf-806fe97b647b
602,272202,5,2,11,21.744,0,21.744,308703.666687012,2675.85617282794,a6e0607e-bc56-4cee-8819-eb3774f1315b
603,272301,5,2,11,18.107,0,18.107,599678.863464355,3850.7414959371,f8d8a03b-167c-4ecb-86e1-a3e1911480b0
604,272302,5,2,11,10.546,0,10.546,503451.054016113,3213.00561947729,04618581-5656-4f1f-883a-0b2419093efe
605,273100,5,3,11,126.59,0,126.59,1195588.26647949,4615.41159829958,0c3d3315-7c67-4ebf-9230-72496e97bbbb
606,273300,5,3,11,123.184,114,237.184,572895.512634277,3416.78015097276,b6b6f141-8711-4168-8198-1f1675944470
607,273402,5,3,11,181.471,0,181.471,546080.670715332,3302.05287459358,5e062e55-1d81-4499-837f-746f0b3632e9
608,273502,5,3,11,93.27,0,93.27,552176.528076172,3149.89908843402,4cdfa302-e617-414b-8718-14b559c2bec7
609,273700,5,3,11,10.966,0,10.966,674824.967285156,3255.66116305846,e9563c45-6e26-46b8-b078-9a0f068e06b3
610,273800,5,2,11,7.28,0,7.28,735118.768859863,5000.20828302653,e08d86ba-6af4-46a5-8ab8-cd0b54b7138b
611,141101,2,3,4,2,0,2,760416.859985352,3540.29312624669,568f75e9-ff7f-4533-8690-3e762f70fda8
612,141201,2,3,4,23.513,0,23.513,710246.902038574,3683.21277903174,50db04eb-97b1-49d3-990c-7a08c36c312d
613,141202,2,3,4,1,0,1,698315.329101563,3655.40663625173,7274278b-142f-4fc9-8985-6bebf2d22ad2
614,141302,2,3,4,4.294,0,4.294,1279697.921875,5066.95840982492,a8e0005d-5bd1-44b4-a1af-7d9b81fba24f
615,141304,2,3,4,1.676,0,1.676,693513.678344727,4217.40336589278,bfadac49-af67-4c1b-ab71-dc910dd7cf0c
616,141400,2,3,5,0,0,0,1983503.08197021,5877.36190743188,82971f1a-421c-49bb-a8dc-5abbc6db24f3
617,141500,2,3,5,1.618,0,1.618,3343703.25866699,9110.29682591194,81edada9-d574-4678-871c-370c657ee7c7
618,141600,2,3,4,0,0,0,3856563.2364502,10998.8360579113,8c56dc37-8ac6-48d6-9193-086e0bb6c3a3
619,141700,2,3,4,0,0,0,3254759.168396,9212.2236809759,83873edc-7412-451e-b1d4-7b47e3ebf62f
620,143200,2,3,2,7.975,0,7.975,977071.216491699,4256.78351338912,38ac8f0a-5750-4afc-bb45-feaebda3a1e3
621,143300,2,3,2,5.662,0,5.662,1659020.16937256,6052.8616603816,b83eaf5f-d784-45f9-b900-6b413eb8110e
622,143400,2,3,2,4,0,4,1759354.70812988,6414.07082919543,6747d067-8107-4f82-a0dc-2dcaa29c6fb8
623,143500,2,3,2,0,0,0,1235727.59869385,5706.05781988211,c48a39de-c21a-4a37-92cc-982e301485e5
624,143602,2,3,2,1,0,1,1210673.8760376,5079.16557200013,35b79b18-8b2a-40bf-bc1b-c7274edf294a
625,143604,2,3,2,12.399,0,12.399,561065.842346191,4099.43903023855,28aa1326-3a1f-4c5a-9389-40ddf71c10ec
626,143700,2,3,4,11,0,11,3405086.79840088,9234.77396915592,fa79ca5a-9c0f-41be-b842-b719b5308125
627,143800,2,3,2,5,0,5,2626673.68823242,9989.67720122825,b98ecdaf-6141-46e2-ba68-c107dca6b167
628,143901,2,3,2,0,0,0,5311225.02325439,12570.1630256795,d37ec946-d124-4870-a14b-88fa5b388e66
629,181000,4,1,14,54.31,0,54.31,4118229.63745117,11079.7556710262,475db6ce-3d52-4084-8074-cbd969b07a2a
630,181300,4,1,14,28.203,0,28.203,1416590.31109619,5968.19684722513,f9bd709d-d1f0-40ac-b44f-d50bf9f3e98b
631,181400,4,1,14,27.159,0,27.159,891743.492431641,4340.29836129249,d1fd1254-c376-4afc-b23f-f3d0fb2989e8
632,181500,4,1,14,40.695,0,40.695,1085103.262146,5333.71160747488,54366a8f-412a-4ef1-9009-89f78d685647
