FID,Tract,SPA,SD,CD,totUnshelt,totSheltPe,totPeople,Shape__Area,Shape__Length,OBJECTID,Tract_N,SPA,SD,CD,totUnshelt,totShelt,totPeople,Shape__Area,Shape__Length,GlobalID,OBJECTID,Tract_N,SPA,Detailed_1,CD,Detailed_N,SD,Tract_1,Year_1,totUnshe_1,totShelt_1,totPeopl_1,u_dens,s_dens,t_dens,unincorpor,Shape__Area,Shape__Length
53,106520,2,3,7,44.461999999999996,0,44.461999999999996,3241010.3828125,7307.769887932281,50,213402,4,2,1,17.73,0,17.73,393026.428405762,2533.6709244580898,6c6e870f-d0d4-4f8a-acde-7b067a5cdb3e,49,106520,2,Sylmar NC,7,Sylmar NC,3,106520,2019,35.458,0,35.458,41.636062,0.0,41.636062,No,23741921.874023397,19779.3177734989
54,106603,2,5,12,0.0,0,0.0,22482774.1953125,22789.5540635052,51,214901,4,3,5,1.0,0,1.0,312858.442810059,2256.7754158165,9a0a5da2-1083-40a4-a14d-45d77117e377,50,106603,2,Granada Hills North NC,12,Granada Hills North NC,5,106603,2019,0.0,0,0.0,0.0,0.0,0.0,Yes,164677748.881836,61683.735009178796
55,106604,2,3,7,14.673,0,14.673,3838623.76953125,9716.21473904403,52,216100,4,2,4,1.0,0,1.0,682812.282653809,3399.2751258250396,b61b5464-7ab4-4bf6-ab61-72b155eaf17c,51,106604,2,Sylmar NC,7,Sylmar NC,3,106604,2019,23.519000000000002,0,23.519000000000002,23.314891,0.0,23.314891,No,28121928.8623047,26302.262791688398
56,106641,2,5,12,0.0,0,0.0,1667911.5078125,7051.5825916562,53,216402,5,3,5,1.676,0,1.676,229888.28326416,1952.9112372938898,80524a35-8b0e-4de5-9cd2-ff0104b12c57,52,106641,2,Granada Hills North NC,12,Granada Hills North NC,5,106641,2019,0.0,0,0.0,0.0,0.0,0.0,No,12220846.607421901,19091.7786985438
57,106642,2,5,12,4.19,0,4.19,2316654.25390625,7528.67661814255,54,217001,5,2,5,2.6180000000000003,0,2.6180000000000003,545352.7059326171,3281.8984095259198,3848bbb1-cc83-49d7-a3af-88661293a6e7,53,106642,2,Granada Hills North NC,12,Granada Hills North NC,5,106642,2019,0.0,0,0.0,0.0,0.0,0.0,No,16979324.2939453,20369.1627345003
58,106643,2,5,12,2.095,0,2.095,6362894.44921875,12126.4785014725,55,218120,4,2,10,2.526,17,19.526,446125.27319335897,2710.3641572171,da15d51f-2d12-4e9b-9e34-afb3156bac3b,54,106643,2,Granada Hills North NC,12,Granada Hills North NC,5,106643,2019,0.0,0,0.0,0.0,0.0,0.0,No,46632204.6132813,32838.9673344747
59,106645,2,5,12,0.0,0,0.0,3712567.93359375,11169.168105274699,56,218400,6,2,10,1.831,0,1.831,650385.427368164,3708.7079647765204,2ffa3b83-3ae1-4d8d-9716-ca8ad17d07c6,55,106645,2,Granada Hills North NC,12,Granada Hills North NC,5,106645,2019,3.949,0,3.949,4.046307,0.0,4.046307,No,27208208.4238281,30208.8584183575
60,106646,2,5,12,2.7030000000000003,0,2.7030000000000003,2167441.59765625,8662.076586260351,57,218701,6,2,10,19.276,0,19.276,551388.220214844,3255.98338231313,a35dd1f6-cafe-4631-b6c3-1902b2a911bd,56,106646,2,Granada Hills North NC,12,Granada Hills North NC,5,106646,2019,1.425,0,1.425,2.500354,0.0,2.500354,No,15888454.1064453,23435.8329721017
61,106648,2,3,7,0.0,0,0.0,1164574.09765625,5043.83891361724,58,219010,6,2,10,29.653000000000002,0,29.653000000000002,441772.109680176,2861.5860093813503,9eb359a9-afd6-4631-9271-72889581a013,57,106648,2,Sylmar NC,7,Sylmar NC,3,106648,2019,2.0,0,2.0,6.533336,0.0,6.533336,No,8537475.52246094,13662.3020670126
62,106649,2,3,7,0.0,0,0.0,1628253.5625,7660.1169325222,59,219800,6,2,10,25.115,0,25.115,445355.14239502,2970.90543310396,732c6b01-a59a-49a0-98dd-b2553b0a5371,58,106649,2,Sylmar NC,7,Sylmar NC,3,106649,2019,5.047,0,5.047,11.790821000000001,0.0,11.790821000000001,No,11921658.4580078,20729.0669036209
63,107010,2,3,7,3.591,0,3.591,1005805.859375,4792.95972459359,60,221110,4,2,1,8.59,0,8.59,235103.61877441398,2110.6905628812196,b3ebc687-74fe-43b7-800c-5170c15486e4,59,107010,2,Sylmar NC,7,Sylmar NC,3,107010,2019,4.9639999999999995,0,4.9639999999999995,18.779464,0.0,18.779464,No,7370941.8125,12976.7687009619
